Patient,Mine_RMSE,GWO_RMSE,RMSE_Δ%,Mine_MAE,GWO_MAE,MAE_Δ%,Mine_R2,GWO_R2,R2_Δ%,Mine_Time_s,GWO_Time_s,Time_Δ%
100,0.027566,0.026100,-5.32%,0.013555,0.012900,-4.83%,0.9177,0.9262,+0.92%,115.4,414.6,+259.15%
101,0.056510,0.063900,+13.08%,0.018018,0.021700,+20.44%,0.7356,0.6620,-10.01%,99.1,236.8,+138.90%
102,0.029115,0.028600,-1.77%,0.011482,0.011200,-2.45%,0.8145,0.8208,+0.77%,164.8,541.2,+228.34%
103,0.018050,0.017100,-5.26%,0.008764,0.008100,-7.58%,0.9758,0.9783,+0.26%,173.2,654.6,+277.86%
104,0.051589,0.051300,-0.56%,0.027584,0.027300,-1.03%,0.7548,0.7578,+0.39%,155.4,413.7,+166.18%
105,0.038197,0.037600,-1.56%,0.016075,0.015600,-2.96%,0.8902,0.8938,+0.40%,165.4,626.2,+278.48%
106,0.035375,0.033900,-4.17%,0.012955,0.012100,-6.60%,0.8564,0.8677,+1.32%,173.0,543.5,+214.11%
107,0.030822,0.030100,-2.34%,0.013720,0.012600,-8.16%,0.9452,0.9476,+0.25%,172.7,594.7,+244.35%
108,0.048466,0.044300,-8.59%,0.024463,0.023000,-5.98%,0.7144,0.7619,+6.64%,92.4,406.0,+339.49%
109,0.017883,0.015600,-12.77%,0.010198,0.008400,-17.63%,0.9831,0.9872,+0.42%,171.6,707.4,+312.19%
112,0.037623,0.037500,-0.33%,0.018180,0.017700,-2.64%,0.8927,0.8932,+0.05%,171.6,706.5,+311.76%
113,0.022210,0.020100,-9.50%,0.008402,0.007400,-11.93%,0.9705,0.9758,+0.54%,163.1,698.6,+328.40%
114,0.015661,0.012900,-17.63%,0.005699,0.005100,-10.51%,0.9418,0.9606,+1.99%,173.2,635.4,+266.84%
115,0.028503,0.028100,-1.41%,0.009858,0.009300,-5.66%,0.8864,0.8893,+0.33%,172.8,701.6,+306.07%
116,0.035280,0.034200,-3.06%,0.014256,0.013000,-8.81%,0.9253,0.9300,+0.50%,149.8,706.7,+371.76%
117,0.029813,0.029700,-0.38%,0.015338,0.015100,-1.55%,0.9413,0.9417,+0.04%,171.8,681.9,+296.82%
119,0.020120,0.019600,-2.58%,0.008052,0.007700,-4.38%,0.9679,0.9694,+0.16%,172.9,663.8,+283.85%
121,0.026632,0.025000,-6.13%,0.012832,0.011900,-7.26%,0.9543,0.9597,+0.57%,172.2,676.9,+293.16%
122,0.021068,0.020500,-2.70%,0.011033,0.010800,-2.11%,0.9625,0.9644,+0.19%,171.8,585.3,+240.69%
123,0.021286,0.020900,-1.81%,0.007725,0.007500,-2.91%,0.8807,0.8854,+0.53%,173.4,675.4,+289.41%
124,0.027032,0.026700,-1.23%,0.013165,0.012300,-6.57%,0.9688,0.9695,+0.07%,172.6,550.5,+218.91%
MEAN,0.030419,0.029700,-2.36%,0.013398,0.012890,-3.79%,0.8991,0.9020,+0.33%,159.5,591.5,+270.95%
